asset_id,asset_type,age_days,days_since_last_pm,cumulative_downtime_hours,historical_work_order_count,vibration_rms,operating_temperature_c,power_consumption_kwh,ambient_humidity,thermal_vibration_index,pm_overdue_ratio,downtime_intensity,failed_within_30_days
AST-GEN-472,Generator,1717,193,71.3,8,7.38,97.6,52.3,30.0,4.806,2.144,1.246,1
AST-HVA-445,HVAC,179,59,3.5,2,1.54,53.0,22.8,64.6,0.543,0.656,0.587,0
AST-LAB-373,Lab Equipment,1770,152,84.9,14,4.4,62.8,18.2,38.6,1.844,1.689,1.439,1
AST-GEN-127,Generator,1653,124,3.1,7,3.14,88.2,55.7,52.8,1.843,1.378,0.056,0
AST-ELE-316,Elevator,121,210,12.2,1,5.76,64.2,35.2,52.1,2.465,2.333,3.025,1
AST-ELE-910,Elevator,522,141,15.5,4,4.27,79.3,30.6,39.1,2.255,1.567,0.891,0
AST-GEN-852,Generator,781,108,13.4,3,1.68,90.5,59.1,50.3,1.016,1.2,0.515,0
AST-WAT-586,Water Pump,2383,165,60.7,13,6.32,78.7,46.4,52.3,3.317,1.833,0.764,1
AST-HVA-729,HVAC,96,198,0.0,0,5.93,63.4,31.9,50.9,2.506,2.2,0.0,0
AST-IT -762,IT Server,2106,111,3.5,13,2.25,54.9,15.9,78.8,0.826,1.233,0.05,0
AST-IT -878,IT Server,1379,174,14.6,6,4.34,59.0,21.6,43.7,1.706,1.933,0.318,0
AST-WAT-147,Water Pump,1616,121,3.3,3,4.12,72.5,32.3,37.5,1.988,1.344,0.061,0
AST-IT -524,IT Server,867,78,41.9,6,1.51,53.9,15.6,50.0,0.542,0.867,1.45,0
AST-GEN-813,Generator,2139,178,24.4,9,5.73,87.3,49.8,46.4,3.337,1.978,0.342,1
AST-WAT-615,Water Pump,2002,103,171.4,13,4.32,70.5,31.5,39.7,2.028,1.144,2.568,1
AST-WAT-422,Water Pump,1351,218,17.1,5,6.68,93.5,47.8,79.4,4.163,2.422,0.38,1
AST-ELE-752,Elevator,1269,147,186.1,7,6.0,66.6,31.8,22.1,2.663,1.633,4.4,1
AST-WAT-220,Water Pump,1895,16,24.4,9,4.87,50.8,32.4,53.2,1.652,0.178,0.386,0
AST-WAT-674,Water Pump,1760,196,40.3,12,5.74,76.9,44.8,45.4,2.941,2.178,0.687,1
AST-HVA-658,HVAC,1674,175,7.3,6,5.01,70.2,27.2,62.1,2.345,1.944,0.131,0
AST-HVA-516,HVAC,1630,53,13.9,10,1.92,50.1,23.1,46.0,0.64,0.589,0.256,0
AST-HVA-880,HVAC,315,103,3.7,1,2.92,62.0,27.2,57.6,1.207,1.144,0.352,0
AST-IT -792,IT Server,90,122,0.0,0,1.57,52.5,14.4,79.6,0.548,1.356,0.0,0
AST-WAT-694,Water Pump,2411,46,44.6,13,3.13,76.9,34.5,49.8,1.607,0.511,0.555,0
AST-IT -959,IT Server,358,173,11.6,2,3.52,54.9,23.7,71.2,1.287,1.922,0.972,0
AST-WAT-649,Water Pump,684,126,13.3,7,5.15,62.8,35.0,69.5,2.156,1.4,0.583,1
AST-GEN-528,Generator,1352,227,8.5,5,6.82,95.5,61.9,59.2,4.341,2.522,0.189,1
AST-WAT-923,Water Pump,985,119,20.4,5,3.29,78.4,34.1,63.3,1.721,1.322,0.621,1
AST-ELE-106,Elevator,2216,109,5.8,17,2.51,60.3,32.1,60.1,1.009,1.211,0.079,0
AST-MED-725,Medical,1104,44,0.0,0,1.16,47.1,10.2,38.9,0.364,0.489,0.0,0
AST-MED-261,Medical,153,53,6.1,1,1.06,40.5,9.1,20.0,0.285,0.589,1.196,0
AST-IT -648,IT Server,990,227,15.1,9,5.55,71.2,23.5,61.6,2.635,2.522,0.458,1
AST-WAT-343,Water Pump,1368,78,5.7,4,3.09,63.8,28.9,40.9,1.316,0.867,0.125,0
AST-ELE-715,Elevator,108,29,8.9,2,2.3,58.3,26.7,56.8,0.895,0.322,2.472,0
AST-WAT-679,Water Pump,1744,116,81.5,12,3.87,84.1,33.0,43.7,2.169,1.289,1.402,1
AST-LAB-713,Lab Equipment,765,17,6.9,2,1.37,44.4,14.8,49.5,0.406,0.189,0.271,0
AST-WAT-651,Water Pump,1828,49,18.6,11,2.76,74.5,33.4,33.0,1.372,0.544,0.305,1
AST-MED-721,Medical,2202,42,84.6,12,3.09,52.6,8.5,48.7,1.083,0.467,1.153,0
AST-MED-337,Medical,2329,234,16.1,5,6.33,67.9,20.0,47.1,2.863,2.6,0.207,1
AST-WAT-384,Water Pump,1034,208,20.7,5,6.36,90.7,45.2,49.4,3.849,2.311,0.601,1
AST-GEN-901,Generator,338,120,0.0,0,3.8,71.2,42.3,61.4,1.803,1.333,0.0,0
AST-HVA-524,HVAC,1961,129,6.4,9,3.54,70.8,24.9,55.8,1.669,1.433,0.098,0
AST-HVA-495,HVAC,1573,165,9.4,7,4.14,75.2,34.4,53.1,2.076,1.833,0.179,1
AST-GEN-794,Generator,496,88,2.7,1,0.81,63.0,50.6,85.0,0.339,0.978,0.163,0
AST-IT -693,IT Server,242,27,0.0,0,0.94,38.1,16.8,62.6,0.24,0.3,0.0,0
AST-WAT-358,Water Pump,2409,236,90.1,12,9.16,96.9,42.4,38.6,5.921,2.622,1.122,1
AST-GEN-970,Generator,2123,24,0.7,10,1.67,62.8,44.4,41.6,0.698,0.267,0.01,0
AST-GEN-559,Generator,219,30,1.8,1,2.29,72.5,44.2,44.3,1.108,0.333,0.247,0
AST-IT -259,IT Server,1718,162,7.3,12,4.07,63.1,22.1,56.5,1.712,1.8,0.127,0
AST-LAB-149,Lab Equipment,863,8,17.9,6,2.24,51.5,10.7,37.2,0.77,0.089,0.622,0
AST-IT -132,IT Server,2150,164,91.0,13,4.74,69.1,18.1,44.2,2.184,1.822,1.27,1
AST-WAT-167,Water Pump,1890,41,13.6,12,2.94,72.4,33.9,44.5,1.418,0.456,0.216,0
AST-IT -269,IT Server,2490,107,46.9,13,2.74,52.7,18.7,36.1,0.963,1.189,0.565,0
AST-ELE-991,Elevator,1242,214,39.7,5,7.79,93.1,41.6,25.9,4.833,2.378,0.959,1
AST-IT -434,IT Server,153,170,0.0,0,3.44,66.7,19.3,57.0,1.529,1.889,0.0,0
AST-LAB-250,Lab Equipment,2144,130,90.7,13,3.67,58.8,14.7,52.9,1.441,1.444,1.269,0
AST-MED-678,Medical,783,165,36.3,3,3.89,57.1,13.2,74.9,1.48,1.833,1.391,0
AST-ELE-382,Elevator,393,20,35.4,3,3.7,64.3,29.1,51.5,1.584,0.222,2.702,0
AST-HVA-533,HVAC,2456,176,16.4,12,5.41,77.0,27.4,52.2,2.778,1.956,0.2,1
AST-IT -494,IT Server,481,44,11.7,2,0.83,48.7,14.9,51.4,0.268,0.489,0.73,0
AST-LAB-501,Lab Equipment,572,4,28.2,3,1.93,50.6,12.9,53.2,0.651,0.044,1.479,0
AST-IT -236,IT Server,98,62,0.0,0,0.68,46.7,14.6,36.5,0.21,0.689,0.0,0
AST-LAB-158,Lab Equipment,747,237,46.7,6,5.5,64.3,26.4,28.0,2.357,2.633,1.876,1
AST-ELE-370,Elevator,1179,69,25.6,5,1.69,59.8,30.5,53.3,0.675,0.767,0.651,0
AST-WAT-709,Water Pump,1592,162,35.2,7,6.06,75.6,44.8,50.0,3.052,1.8,0.663,1
AST-ELE-359,Elevator,1398,134,106.5,8,5.38,72.9,34.1,59.9,2.614,1.489,2.285,1
AST-LAB-106,Lab Equipment,362,46,0.0,0,0.93,44.2,10.7,62.7,0.274,0.511,0.0,0
AST-ELE-402,Elevator,614,77,8.9,2,1.96,55.6,30.0,35.3,0.725,0.856,0.435,0
AST-MED-320,Medical,1700,153,84.0,5,4.04,60.1,14.1,58.3,1.619,1.7,1.482,1
AST-HVA-259,HVAC,942,118,26.8,5,2.7,65.5,18.0,28.8,1.181,1.311,0.854,0
AST-HVA-287,HVAC,2288,233,274.3,27,8.7,86.9,37.4,67.7,5.043,2.589,3.597,1
AST-LAB-514,Lab Equipment,270,64,6.0,1,2.0,49.2,9.5,55.6,0.657,0.711,0.667,0
AST-ELE-879,Elevator,1868,1,55.5,12,2.92,57.6,28.2,55.0,1.12,0.011,0.891,0
AST-WAT-400,Water Pump,1022,97,4.8,8,1.51,71.6,36.4,38.2,0.718,1.078,0.141,0
AST-WAT-883,Water Pump,1292,11,19.2,8,2.76,59.6,35.8,68.3,1.098,0.122,0.446,0
AST-GEN-815,Generator,1770,66,117.5,13,4.02,83.6,42.7,58.6,2.242,0.733,1.992,1
AST-HVA-816,HVAC,2212,209,215.6,16,7.01,97.4,35.5,52.6,4.557,2.322,2.924,1
AST-MED-897,Medical,1170,174,13.3,2,4.2,56.1,16.9,26.2,1.571,1.933,0.341,1
AST-GEN-994,Generator,1668,212,26.6,15,6.2,95.5,63.5,46.1,3.947,2.356,0.478,1
AST-WAT-998,Water Pump,2119,140,101.8,14,5.8,91.9,33.6,80.1,3.554,1.556,1.441,1
AST-MED-995,Medical,2364,116,24.4,17,3.02,50.1,10.4,46.1,1.01,1.289,0.31,0
AST-GEN-630,Generator,1543,71,70.7,8,3.58,68.5,45.2,65.3,1.636,0.789,1.375,0
AST-LAB-520,Lab Equipment,653,51,0.0,0,2.17,44.6,9.7,46.3,0.646,0.567,0.0,0
AST-GEN-538,Generator,187,98,2.1,1,1.93,72.3,52.5,23.3,0.933,1.089,0.337,0
AST-LAB-718,Lab Equipment,2196,105,182.6,14,3.91,63.8,13.3,43.6,1.664,1.167,2.495,1
AST-HVA-232,HVAC,1557,149,84.5,11,5.44,68.1,26.5,41.2,2.466,1.656,1.628,1
AST-WAT-596,Water Pump,743,35,102.1,8,4.36,70.2,28.4,61.5,2.039,0.389,4.122,0
AST-MED-290,Medical,2178,100,11.0,9,1.99,44.0,8.7,67.0,0.583,1.111,0.152,0
AST-LAB-677,Lab Equipment,557,3,15.5,2,1.53,44.3,14.0,40.2,0.452,0.033,0.835,0
AST-LAB-174,Lab Equipment,1888,239,10.6,5,6.27,72.1,25.2,49.7,3.013,2.656,0.168,1
AST-LAB-281,Lab Equipment,804,229,7.5,3,5.55,80.8,24.3,28.0,2.989,2.544,0.28,1
AST-IT -704,IT Server,2490,169,75.0,9,4.34,75.7,22.1,58.4,2.191,1.878,0.904,1
AST-IT -854,IT Server,2500,203,66.5,11,5.68,79.4,23.9,51.0,3.003,2.256,0.798,1
AST-IT -353,IT Server,912,83,12.1,6,1.57,41.6,16.5,66.1,0.437,0.922,0.398,0
AST-ELE-588,Elevator,1667,143,7.8,9,4.8,79.2,36.5,79.7,2.533,1.589,0.14,1
AST-ELE-607,Elevator,1877,157,137.8,9,4.33,72.3,35.6,38.7,2.088,1.744,2.202,1
AST-WAT-544,Water Pump,80,78,0.0,0,0.94,63.1,33.4,50.5,0.396,0.867,0.0,0
AST-MED-637,Medical,737,13,35.0,3,2.04,43.8,7.8,43.3,0.595,0.144,1.425,0
AST-WAT-926,Water Pump,1060,230,19.7,1,7.3,92.7,40.3,48.2,4.511,2.556,0.558,1
AST-GEN-197,Generator,1370,52,16.3,15,3.44,58.9,57.8,57.8,1.352,0.578,0.357,0
AST-ELE-294,Elevator,2485,22,16.0,9,3.5,72.1,26.2,51.7,1.68,0.244,0.193,0
AST-GEN-512,Generator,70,8,3.9,1,0.87,59.9,45.4,51.3,0.346,0.089,1.671,1
AST-HVA-396,HVAC,1248,13,38.7,9,3.2,52.9,21.7,62.9,1.129,0.144,0.93,0
AST-ELE-815,Elevator,1940,239,7.3,8,6.78,97.4,42.0,72.7,4.403,2.656,0.113,1
AST-WAT-731,Water Pump,305,203,2.4,1,6.25,84.5,37.8,64.2,3.523,2.256,0.236,1
AST-ELE-777,Elevator,959,219,0.2,5,6.53,85.5,36.0,58.9,3.724,2.433,0.006,1
AST-MED-848,Medical,2340,19,45.2,18,2.03,45.8,9.8,74.5,0.62,0.211,0.579,0
AST-HVA-117,HVAC,866,133,14.0,6,4.61,65.2,25.8,49.2,2.006,1.478,0.485,0
AST-LAB-429,Lab Equipment,653,231,38.3,4,5.98,74.0,25.9,51.7,2.952,2.567,1.76,1
AST-IT -581,IT Server,572,9,9.9,1,1.01,38.7,17.2,75.6,0.261,0.1,0.519,0
AST-IT -545,IT Server,1370,214,3.8,6,5.29,71.5,26.4,46.1,2.523,2.378,0.083,1
AST-MED-263,Medical,584,76,14.7,1,1.38,35.3,6.9,44.8,0.326,0.844,0.755,0
AST-MED-735,Medical,649,15,26.0,5,0.9,39.3,7.3,54.1,0.236,0.167,1.202,0
AST-GEN-444,Generator,980,8,16.1,6,1.95,79.6,38.6,55.5,1.033,0.089,0.493,0
AST-LAB-536,Lab Equipment,1783,156,0.3,6,3.89,53.9,21.3,44.1,1.398,1.733,0.005,0
AST-HVA-737,HVAC,1099,144,5.4,2,2.56,62.9,32.5,69.5,1.073,1.6,0.147,0
AST-LAB-228,Lab Equipment,2358,212,38.4,11,6.59,70.8,24.4,39.0,3.109,2.356,0.489,1
AST-WAT-134,Water Pump,1545,103,76.8,11,5.94,46.7,35.2,56.7,1.848,1.144,1.491,0
AST-HVA-187,HVAC,1970,169,39.0,11,4.57,71.8,33.1,62.4,2.187,1.878,0.594,1
AST-ELE-102,Elevator,1867,158,52.1,12,6.18,74.6,33.0,53.7,3.075,1.756,0.837,1
AST-HVA-638,HVAC,1793,147,44.4,13,4.02,69.2,32.0,59.4,1.855,1.633,0.743,1
AST-LAB-256,Lab Equipment,1219,218,12.3,5,5.39,81.4,22.5,49.4,2.925,2.422,0.303,1
AST-MED-353,Medical,1288,126,10.7,5,2.65,45.5,12.0,72.4,0.803,1.4,0.249,0
AST-ELE-267,Elevator,1332,58,5.7,6,1.66,62.2,29.9,67.5,0.687,0.644,0.128,0
AST-ELE-298,Elevator,2004,170,110.8,16,7.34,76.8,26.6,56.4,3.756,1.889,1.659,1
AST-WAT-514,Water Pump,427,4,9.0,3,2.38,61.2,25.7,45.1,0.969,0.044,0.632,0
AST-LAB-607,Lab Equipment,834,165,32.3,4,3.54,58.8,17.2,50.3,1.387,1.833,1.162,0
AST-LAB-458,Lab Equipment,284,58,16.0,1,2.04,34.7,15.9,50.5,0.473,0.644,1.69,0
AST-WAT-689,Water Pump,764,12,2.6,2,1.22,58.9,29.9,49.2,0.48,0.133,0.102,0
AST-MED-953,Medical,2421,153,11.5,5,4.14,55.7,13.5,52.1,1.535,1.7,0.143,0
AST-IT -303,IT Server,2142,124,50.5,12,3.1,60.6,22.2,48.0,1.252,1.378,0.707,1
AST-LAB-141,Lab Equipment,807,77,72.3,7,2.07,48.5,9.9,30.0,0.671,0.856,2.688,0
AST-WAT-400,Water Pump,1301,71,61.5,8,2.29,70.2,33.2,64.4,1.07,0.789,1.418,0
AST-MED-663,Medical,30,200,5.7,1,4.69,58.8,16.5,53.6,1.837,2.222,5.7,0
AST-LAB-126,Lab Equipment,1848,192,18.2,14,5.44,62.8,21.8,30.7,2.277,2.133,0.295,0
AST-LAB-986,Lab Equipment,557,199,37.6,3,5.24,66.5,25.4,54.7,2.324,2.211,2.025,1
AST-HVA-105,HVAC,1956,106,32.4,8,2.87,50.3,17.8,44.8,0.964,1.178,0.497,0
AST-WAT-875,Water Pump,322,202,21.4,2,7.24,83.2,48.8,67.4,4.017,2.244,1.994,1
AST-HVA-804,HVAC,2312,219,41.7,13,6.7,80.5,29.5,64.2,3.592,2.433,0.541,1
AST-MED-191,Medical,2009,178,37.3,9,5.16,50.9,15.3,42.5,1.751,1.978,0.557,1
AST-ELE-270,Elevator,2234,152,24.0,10,5.18,69.4,35.0,45.7,2.396,1.689,0.322,1
AST-MED-460,Medical,1600,50,1.8,8,1.79,43.3,7.6,26.7,0.516,0.556,0.034,0
AST-HVA-719,HVAC,330,143,6.5,2,3.11,61.0,24.5,53.0,1.264,1.589,0.591,0
AST-IT -101,IT Server,1440,89,1.5,10,1.3,56.3,10.5,45.1,0.487,0.989,0.031,0
AST-HVA-846,HVAC,420,83,10.0,2,2.92,52.3,14.6,67.4,1.018,0.922,0.714,0
AST-LAB-366,Lab Equipment,1141,184,27.8,5,4.26,65.6,22.4,47.5,1.863,2.044,0.731,0
AST-LAB-785,Lab Equipment,1528,64,189.1,13,3.33,46.3,13.5,65.8,1.028,0.711,3.713,0
AST-HVA-507,HVAC,222,166,10.9,1,3.86,62.1,31.9,27.4,1.599,1.844,1.473,0
AST-LAB-102,Lab Equipment,237,73,8.4,2,0.75,39.7,10.4,59.1,0.197,0.811,1.063,0
AST-GEN-948,Generator,81,184,0.6,1,4.57,98.6,52.9,66.9,3.003,2.044,0.222,1
AST-MED-220,Medical,2240,71,26.6,19,2.52,48.7,9.2,73.5,0.819,0.789,0.356,0
AST-WAT-354,Water Pump,2266,39,78.2,10,3.77,89.0,33.1,32.2,2.236,0.433,1.035,1
AST-WAT-652,Water Pump,128,175,0.0,0,5.61,83.4,41.9,52.5,3.122,1.944,0.0,1
AST-LAB-503,Lab Equipment,686,197,36.1,4,4.94,60.3,18.6,50.2,1.987,2.189,1.579,0
AST-ELE-140,Elevator,1007,132,9.1,4,4.55,64.2,34.8,47.9,1.948,1.467,0.271,0
AST-WAT-657,Water Pump,2301,103,17.3,17,3.02,56.9,28.3,52.7,1.144,1.144,0.226,0
AST-MED-743,Medical,116,169,6.5,1,3.95,55.3,15.3,52.5,1.458,1.878,1.681,0
AST-IT -112,IT Server,650,101,1.7,3,1.33,44.9,14.4,67.2,0.398,1.122,0.078,0
AST-IT -814,IT Server,1414,24,2.4,6,1.21,45.5,14.2,53.0,0.368,0.267,0.051,0
AST-LAB-389,Lab Equipment,1821,182,7.4,9,4.82,60.6,21.0,36.7,1.949,2.022,0.122,0
AST-WAT-308,Water Pump,999,88,14.4,8,3.48,62.9,30.6,59.7,1.46,0.978,0.432,0
AST-GEN-304,Generator,257,239,5.2,2,7.54,112.7,66.4,42.4,5.666,2.656,0.607,1
AST-LAB-407,Lab Equipment,1109,218,25.7,4,5.67,78.6,20.6,35.0,2.972,2.422,0.695,1
AST-IT -154,IT Server,1799,125,27.0,4,2.94,46.6,17.6,51.6,0.915,1.389,0.45,0
AST-ELE-719,Elevator,2317,124,244.1,16,5.33,71.5,30.0,44.1,2.541,1.378,3.161,0
AST-HVA-710,HVAC,718,11,28.5,6,2.48,53.6,21.0,54.5,0.885,0.122,1.191,0
AST-ELE-220,Elevator,2485,180,62.1,13,4.85,84.7,35.3,32.5,2.741,2.0,0.75,1
AST-IT -959,IT Server,1185,222,15.0,8,5.05,81.4,26.6,47.0,2.742,2.467,0.38,1
AST-HVA-304,HVAC,624,208,0.6,1,4.26,76.8,33.9,64.0,2.182,2.311,0.029,1
AST-HVA-198,HVAC,1403,138,3.9,6,4.23,62.9,30.3,52.1,1.774,1.533,0.083,0
AST-MED-674,Medical,222,88,0.0,0,1.38,33.4,7.8,62.8,0.308,0.978,0.0,0
AST-LAB-346,Lab Equipment,793,169,40.0,4,4.38,69.3,18.7,36.4,2.024,1.878,1.513,1
AST-IT -771,IT Server,1681,9,64.6,8,2.15,45.1,15.6,62.3,0.647,0.1,1.153,0
AST-LAB-917,Lab Equipment,680,38,8.5,7,1.7,41.7,13.4,34.0,0.472,0.422,0.375,0
AST-GEN-715,Generator,1956,174,128.7,12,6.8,96.9,47.5,25.2,4.392,1.933,1.974,1
AST-LAB-379,Lab Equipment,1518,183,42.6,10,4.58,77.8,21.3,48.7,2.376,2.033,0.842,1
AST-LAB-843,Lab Equipment,262,222,2.1,1,5.69,78.4,24.4,60.9,2.976,2.467,0.24,1
AST-ELE-891,Elevator,593,236,72.5,5,7.28,101.0,40.0,55.0,4.904,2.622,3.668,1
AST-GEN-181,Generator,1847,193,13.5,4,5.09,95.8,36.0,78.5,3.252,2.144,0.219,1
AST-LAB-863,Lab Equipment,330,211,5.9,2,5.51,69.4,21.4,73.9,2.55,2.344,0.536,0
AST-MED-846,Medical,1028,148,40.1,5,3.5,57.2,14.5,36.1,1.335,1.644,1.17,0
AST-WAT-597,Water Pump,1617,105,22.0,9,2.99,58.0,34.4,47.7,1.155,1.167,0.408,0
AST-LAB-284,Lab Equipment,1046,84,165.8,7,2.66,49.6,8.8,56.9,0.881,0.933,4.755,0
AST-IT -484,IT Server,41,94,1.5,1,0.96,46.2,15.7,70.4,0.296,1.044,1.098,0
AST-HVA-241,HVAC,1604,19,90.0,8,3.45,70.5,25.0,31.5,1.621,0.211,1.683,0
AST-MED-116,Medical,561,96,10.1,4,2.17,46.6,8.4,46.1,0.674,1.067,0.54,0
AST-IT -559,IT Server,54,56,0.0,0,0.48,38.9,15.8,62.7,0.125,0.622,0.0,0
AST-IT -510,IT Server,228,85,9.0,1,1.0,39.6,14.7,40.2,0.263,0.944,1.184,0
AST-HVA-502,HVAC,998,11,4.2,3,2.73,43.8,23.2,56.4,0.795,0.122,0.126,0
AST-GEN-544,Generator,64,95,0.0,0,3.45,70.5,43.4,41.1,1.62,1.056,0.0,0
AST-ELE-643,Elevator,389,166,2.7,2,5.72,62.0,31.3,53.5,2.361,1.844,0.208,0
AST-MED-957,Medical,62,160,21.7,1,3.09,49.2,16.0,43.9,1.014,1.778,10.5,0
AST-HVA-111,HVAC,916,151,6.8,5,2.72,72.0,31.6,33.3,1.304,1.678,0.223,1
AST-HVA-268,HVAC,270,207,15.6,1,5.17,86.8,34.0,35.9,2.99,2.3,1.733,1
AST-ELE-129,Elevator,616,94,57.3,5,3.0,56.7,21.3,59.6,1.134,1.044,2.791,0
AST-IT -368,IT Server,1418,41,14.1,3,1.11,53.9,15.8,51.5,0.398,0.456,0.298,0
AST-WAT-571,Water Pump,1549,146,233.6,15,6.94,93.7,42.1,42.4,4.336,1.622,4.524,1
AST-IT -475,IT Server,977,220,0.6,8,5.07,71.5,25.3,65.9,2.413,2.444,0.018,1
AST-ELE-944,Elevator,794,101,29.5,5,2.66,65.8,35.1,66.7,1.17,1.122,1.115,0
AST-IT -833,IT Server,2214,111,69.5,19,2.99,61.3,12.7,38.2,1.221,1.233,0.942,1
AST-WAT-574,Water Pump,1458,235,10.2,9,6.51,102.0,47.3,51.2,4.429,2.611,0.21,1
AST-LAB-402,Lab Equipment,1347,66,50.8,7,2.1,56.8,14.9,53.0,0.793,0.733,1.131,0
AST-ELE-704,Elevator,591,12,8.2,4,1.71,57.0,32.8,65.7,0.649,0.133,0.416,0
AST-ELE-670,Elevator,1183,178,4.5,4,4.96,70.9,44.4,44.3,2.344,1.978,0.114,1
AST-MED-330,Medical,2134,24,67.2,7,2.28,47.6,8.5,62.2,0.724,0.267,0.945,0
AST-HVA-745,HVAC,2328,31,43.5,9,3.74,61.8,24.4,25.1,1.543,0.344,0.561,0
AST-IT -498,IT Server,1454,162,120.8,8,4.39,80.5,19.5,32.2,2.356,1.8,2.492,1
AST-GEN-390,Generator,1189,196,3.1,6,6.05,89.1,57.5,37.4,3.593,2.178,0.078,1
AST-LAB-260,Lab Equipment,717,153,35.0,3,3.89,52.8,18.3,60.1,1.369,1.7,1.464,0
AST-MED-252,Medical,535,127,12.9,1,2.97,46.6,11.7,38.2,0.922,1.411,0.723,0
AST-HVA-422,HVAC,1698,98,12.8,6,1.83,60.3,25.0,41.6,0.734,1.089,0.226,1
AST-WAT-518,Water Pump,450,208,7.7,1,4.17,93.8,46.6,52.2,2.606,2.311,0.513,1
AST-GEN-417,Generator,2249,109,261.3,17,5.68,76.7,49.5,43.4,2.903,1.211,3.486,1
AST-HVA-403,HVAC,1868,222,75.3,10,6.81,90.0,34.6,45.7,4.084,2.467,1.209,1
AST-WAT-531,Water Pump,1693,5,4.8,7,2.25,63.9,34.2,20.0,0.96,0.056,0.085,0
AST-MED-918,Medical,287,94,5.1,4,1.04,33.1,7.8,33.4,0.229,1.044,0.533,0
AST-HVA-172,HVAC,1563,51,44.7,8,2.57,55.9,23.9,24.7,0.959,0.567,0.858,0
AST-HVA-551,HVAC,973,174,68.5,5,4.14,67.6,23.2,67.3,1.864,1.933,2.112,0
AST-HVA-533,HVAC,2065,208,62.6,8,6.51,88.7,34.6,56.2,3.849,2.311,0.909,1
AST-LAB-155,Lab Equipment,1450,135,14.7,3,3.33,56.4,14.8,63.2,1.254,1.5,0.304,0
AST-HVA-482,HVAC,558,46,0.0,0,1.47,55.8,20.9,39.6,0.546,0.511,0.0,0
AST-HVA-314,HVAC,1034,152,32.0,3,4.28,69.8,26.4,41.8,1.992,1.689,0.928,1
AST-LAB-680,Lab Equipment,1116,15,19.8,4,1.44,50.4,11.5,28.0,0.483,0.167,0.532,0
AST-MED-849,Medical,1526,55,62.2,10,1.86,44.9,7.8,63.1,0.557,0.611,1.223,0
AST-WAT-427,Water Pump,1945,150,27.9,6,5.89,86.2,44.2,50.9,3.383,1.667,0.43,1
AST-ELE-571,Elevator,534,147,10.3,2,3.82,75.6,33.7,70.3,1.925,1.633,0.579,0
AST-HVA-876,HVAC,2179,164,50.4,13,4.61,76.4,29.9,50.8,2.346,1.822,0.694,1
AST-LAB-545,Lab Equipment,1260,217,7.6,5,5.93,73.1,24.4,55.3,2.891,2.411,0.181,1
AST-IT -319,IT Server,1789,85,2.3,11,1.42,41.1,12.1,45.9,0.389,0.944,0.039,0
AST-HVA-667,HVAC,992,50,3.9,8,0.74,66.7,21.3,44.8,0.328,0.556,0.118,0
AST-ELE-721,Elevator,2057,68,73.8,10,3.18,68.7,26.5,27.1,1.456,0.756,1.076,0
AST-IT -571,IT Server,1651,141,10.9,3,3.21,61.1,18.1,57.1,1.309,1.567,0.198,0
AST-MED-803,Medical,1949,13,63.5,11,2.77,40.2,9.5,57.8,0.743,0.144,0.977,0
AST-GEN-863,Generator,1988,217,36.5,16,6.27,83.0,47.2,49.9,3.47,2.411,0.551,1
AST-ELE-190,Elevator,2250,68,58.3,16,2.7,62.5,33.0,44.3,1.124,0.756,0.777,0
AST-HVA-925,HVAC,440,145,4.1,2,3.24,72.8,22.1,49.0,1.573,1.611,0.28,0
AST-HVA-717,HVAC,1504,111,21.8,11,2.72,63.8,23.0,25.5,1.156,1.233,0.435,0
AST-GEN-294,Generator,618,177,62.8,5,5.31,88.9,47.3,42.2,3.146,1.967,3.049,1
AST-ELE-590,Elevator,901,202,129.3,7,7.14,88.6,32.7,52.9,4.222,2.244,4.305,1
AST-GEN-679,Generator,1688,75,65.8,8,3.65,94.8,47.3,46.9,2.31,0.833,1.169,1
AST-GEN-989,Generator,2326,236,17.9,10,7.45,95.4,58.9,25.5,4.739,2.622,0.231,1
AST-GEN-881,Generator,701,209,69.6,5,6.93,93.9,51.5,52.6,4.339,2.322,2.979,1
AST-WAT-571,Water Pump,1570,159,119.9,13,6.0,86.8,30.3,32.0,3.471,1.767,2.291,1
AST-ELE-291,Elevator,1087,43,48.8,5,2.74,65.6,22.6,42.4,1.2,0.478,1.347,0
AST-GEN-736,Generator,683,58,14.4,4,2.1,85.3,54.7,49.1,1.193,0.644,0.633,0
AST-WAT-446,Water Pump,606,12,0.0,0,2.37,76.9,27.5,42.3,1.216,0.133,0.0,0
AST-ELE-286,Elevator,118,148,0.0,0,4.03,58.8,39.1,44.8,1.581,1.644,0.0,0
AST-ELE-100,Elevator,297,109,3.1,1,2.59,51.5,30.2,49.7,0.888,1.211,0.313,0
AST-GEN-879,Generator,747,133,36.3,3,5.29,88.2,47.9,48.6,3.11,1.478,1.458,1
AST-GEN-317,Generator,1246,127,48.9,11,5.91,84.3,54.9,33.5,3.318,1.411,1.177,1
AST-IT -705,IT Server,2181,39,56.7,8,1.87,46.5,13.1,57.0,0.579,0.433,0.78,0
AST-HVA-918,HVAC,2009,85,259.1,16,3.68,72.2,20.6,43.6,1.773,0.944,3.869,1
AST-WAT-186,Water Pump,1374,216,6.5,4,7.58,88.5,38.3,31.9,4.469,2.4,0.142,1
